burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
0.1,153.1,2,0.131611,0.0525647,0.079046,0.192647,1.03032,0.00201646,0.323524
0.1,1989.8,2,0.150589,0.07356,0.0770294,0.187738,1.02322,0.00226434,0.325768
0.1,2040.8,2,0.151103,0.0741266,0.0769768,0.18761,1.02306,0.00227096,0.325819
0.1,2091.8,2,0.151617,0.0746923,0.0769243,0.187482,1.02291,0.00227757,0.325868
0.1,2142.9,2,0.15213,0.0752583,0.0768719,0.187354,1.02275,0.00228418,0.325918
0.1,2193.9,2,0.152642,0.0758224,0.0768198,0.187227,1.0226,0.00229076,0.325967
0.1,2244.9,2,0.153153,0.0763856,0.0767678,0.187101,1.02245,0.00229732,0.326015
0.1,2295.9,2,0.153664,0.0769481,0.076716,0.186975,1.0223,0.00230388,0.326063
0.1,2346.9,2,0.154174,0.0775097,0.0766643,0.186849,1.02215,0.00231042,0.32611
0.1,2398.0,2,0.154684,0.0780715,0.0766124,0.186723,1.022,0.00231697,0.326156
0.1,2449.0,2,0.155193,0.0786316,0.0765611,0.186598,1.02186,0.00232349,0.326202
0.1,204.1,2,0.132151,0.0531643,0.0789866,0.192503,1.03009,0.0020236,0.323598
0.1,2500.0,2,0.155701,0.0791908,0.0765099,0.186473,1.02172,0.00232999,0.326247
0.1,255.1,2,0.13269,0.0537628,0.0789274,0.192359,1.02985,0.00203073,0.323671
0.1,306.1,2,0.133229,0.0543604,0.0788685,0.192215,1.02962,0.00203784,0.323744
0.1,357.1,2,0.133767,0.0549572,0.0788099,0.192073,1.02939,0.00204494,0.323816
0.1,408.2,2,0.134305,0.0555539,0.0787512,0.19193,1.02916,0.00205203,0.323888
0.5,0.0,1,0.0108332,0.00739893,0.00343432,0.00869043,0.25097,0.0186316,1.32818
0.5,459.2,1,0.0109899,0.00754762,0.00344227,0.0087094,0.251368,0.0186966,1.32608
0.5,510.2,1,0.0110072,0.00756406,0.00344312,0.00871142,0.251411,0.0187033,1.32585
0.5,561.2,1,0.0110244,0.00758047,0.00344395,0.00871341,0.251453,0.0187098,1.32563
0.5,612.2,1,0.0110417,0.00759687,0.00344478,0.00871539,0.251496,0.0187162,1.3254
0.5,663.3,1,0.0110589,0.00761329,0.0034456,0.00871735,0.251538,0.0187225,1.32518
0.5,714.3,1,0.0110761,0.00762966,0.00344641,0.00871929,0.251579,0.0187287,1.32496
0.5,765.3,1,0.0110932,0.00764602,0.00344722,0.00872121,0.251621,0.0187348,1.32475
0.5,816.3,1,0.0111104,0.00766235,0.00344802,0.00872312,0.251662,0.0187407,1.32453
0.5,867.4,1,0.0111275,0.00767871,0.00344881,0.00872501,0.251703,0.0187466,1.32431
0.5,918.4,1,0.0111446,0.00769501,0.00344959,0.00872688,0.251743,0.0187524,1.3241
0.5,51.0,1,0.0108507,0.00741551,0.00343523,0.00869262,0.251016,0.0186393,1.32794
0.5,969.4,1,0.0111617,0.00771131,0.00345037,0.00872874,0.251784,0.018758,1.32389
0.5,1020.4,1,0.0111787,0.00772758,0.00345114,0.00873058,0.251824,0.0187636,1.32368
0.5,1071.4,1,0.0111957,0.00774384,0.0034519,0.0087324,0.251863,0.018769,1.32347
0.5,1122.5,1,0.0112128,0.00776011,0.00345265,0.00873421,0.251903,0.0187744,1.32326
0.5,1173.5,1,0.0112297,0.00777635,0.0034534,0.008736,0.251942,0.0187796,1.32305
0.5,1224.5,1,0.0112467,0.00779256,0.00345414,0.00873777,0.251981,0.0187847,1.32285
0.5,1275.5,1,0.0112636,0.00780875,0.00345488,0.00873953,0.25202,0.0187898,1.32264
0.5,1326.5,1,0.0112805,0.00782494,0.0034556,0.00874127,0.252059,0.0187947,1.32244
0.5,1377.6,1,0.0112975,0.00784114,0.00345633,0.008743,0.252097,0.0187996,1.32224
0.5,1428.6,1,0.0113143,0.00785729,0.00345704,0.00874471,0.252135,0.0188043,1.32204
0.5,102.0,1,0.0108682,0.00743207,0.00343614,0.00869478,0.251061,0.0186469,1.3277
0.5,1479.6,1,0.0113312,0.00787343,0.00345775,0.00874641,0.252173,0.018809,1.32184
0.5,1530.6,1,0.011348,0.00788955,0.00345845,0.00874809,0.252211,0.0188135,1.32165
0.5,1581.6,1,0.0113648,0.00790565,0.00345914,0.00874975,0.252248,0.018818,1.32145
0.5,1632.7,1,0.0113816,0.00792178,0.00345983,0.0087514,0.252285,0.0188224,1.32125
0.5,1683.7,1,0.0113984,0.00793785,0.00346051,0.00875304,0.252322,0.0188267,1.32106
0.5,1734.7,1,0.0114151,0.00795392,0.00346119,0.00875466,0.252359,0.0188308,1.32087
0.5,1785.7,1,0.0114318,0.00796996,0.00346186,0.00875626,0.252396,0.018835,1.32068
